ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Metodo_Pagamento,Status_Pedido,Cidade,Estado,Pais,Faturamento
TRX002095,2025-07-12,CLI01104,Aspirador de Pó,Casa,268.33,1,Pix,Em Processamento,Recife,PE,Brasil,268.33
TRX001613,2025-11-03,CLI00357,Calça Jeans,Moda,685.66,1,Cartao De Credito,Cancelado,Manaus,AM,Brasil,685.66
TRX005859,2025-03-08,CLI00261,Romance Best-Seller,Livros,3056.29,2,Cartao De Credito,Cancelado,Brasília,DF,Brasil,6112.58
TRX002572,2025-06-22,CLI00940,Tapete de Yoga,Esporte,3440.51,5,Pix,Devolvido,São Paulo,SP,Brasil,17202.55
TRX003782,2025-07-24,CLI00302,Quadrinho Clássico,Livros,31.61,2,Cartao De Credito,Cancelado,Salvador,BA,Brasil,63.22
TRX001006,2025-05-14,CLI01078,Fone Bluetooth,Eletrônicos,2159.79,3,Cartao De Credito,Concluido,Manaus,AM,Brasil,6479.37
TRX004702,2025-06-13,CLI00170,Corda de Pular,Esporte,2040.84,1,Boleto,Cancelado,Manaus,AM,Brasil,2040.84
TRX001818,2025-07-25,CLI00317,Bicicleta Aro 29,Esporte,1809.81,1,Cartao De Credito,Cancelado,Belo Horizonte,MG,Brasil,1809.81
TRX004404,2025-03-20,CLI01047,Vestido Casual,Moda,1420.55,5,Pix,Concluido,Belo Horizonte,MG,Brasil,7102.75
TRX000682,2025-11-26,CLI00351,Fone Bluetooth,Eletrônicos,447.46,1,Cartao De Credito,Cancelado,Recife,PE,Brasil,447.46
TRX005088,2025-05-30,CLI00735,Calça Jeans,Moda,1132.59,2,Cartao De Credito,Concluido,Rio De Janeiro,RJ,Brasil,2265.18
TRX000605,2025-09-08,CLI00216,Smartphone X10,Eletrônicos,1334.53,2,Boleto,Cancelado,Recife,PE,Brasil,2669.06
TRX003401,2025-10-07,CLI01159,Livro Infantil,Livros,1310.6,3,Cartao De Debito,Em Processamento,Salvador,BA,Brasil,3931.8
