ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Localidade_Venda,Metodo_Pagamento,Status_Pedido
TRX002095,2025-07-12,CLI01104,Aspirador de Pó,CASA,268.33,1.0,Recife/PE/Brasil,pix,Em Processamento
TRX001613,03/11/2025,CLI00357,Calça Jeans,Moda,685.66,1.0,MANAUS - AM,Cartao de Credito,Cancelado
TRX005859,03-08-2025,CLI00261,Romance Best-Seller,Livros,3056.29,2.0,Brasília/DF/Brasil,cartao de credito,Cancelado
TRX004295,04-29-2025,,Livro Infantil,Livros,"R$ 1.368,37",1.0,SÃO PAULO - SP,PIX,Cancelado
TRX002572,06-22-2025,CLI00940,Tapete de Yoga,Esporte,3440.51,5.0,São Paulo/SP/Brasil,PIX,Devolvido
TRX003782,07-24-2025,CLI00302,Quadrinho Clássico,LIVROS,31.61,2.0,Salvador/BA/Brasil,Cartao de Credito,Cancelado
TRX001006,2025-05-14,CLI01078,Fone Bluetooth,Eletrônicos,2159.79,3.0,Manaus/AM/Brasil,cartao de credito,Concluido
TRX004702,13/06/2025,CLI00170,Corda de Pular,Esporte,2040.84,1.0,Manaus/AM/Brasil,Boleto,Cancelado
TRX001818,2025-07-25,CLI00317,Bicicleta Aro 29,Esporte,"R$ 1.809,81",1.0,BELO HORIZONTE - MG,Cartao de Credito,Cancelado
TRX004404,03-20-2025,CLI01047,Vestido Casual,MODA,"R$ 1.420,55",5.0,Belo Horizonte/MG/Brasil,PIX,Concluido
TRX000682,11-26-2025,CLI00351,Fone Bluetooth,Eletrônicos,447.46,1.0,RECIFE - PE,cartao de credito,Cancelado
TRX005088,05-30-2025,CLI00735,Calça Jeans,Moda,1132.59,2.0,Rio de Janeiro/RJ/Brasil,cartao de credito,concluido
TRX000605,2025-09-08,CLI00216,Smartphone X10,Eletrônicos,1334.53,2.0,Recife/PE/Brasil,Boleto,Cancelado
TRX003401,07/10/2025,CLI01159,Livro Infantil,Livros,"R$ 1.310,60",3.0,Salvador/BA/Brasil,Cartao de Debito,Em Processamento
TRX001609,06-21-2025,CLI00069,Liquidificador,Casa,"R$ 57,65",2.0,Belo Horizonte/MG/Brasil,cartao de credito,Concluido
TRX000168,01-23-2025,CLI00175,Bicicleta Aro 29,Esporte,2084.46,5.0,Salvador/BA/Brasil,Cartao de Debito,Em Processamento
TRX003022,20/07/2025,CLI00518,Vestido Casual,Moda,"R$ 2.170,07",4.0,Rio de Janeiro/RJ/Brasil,Cartao de Credito,Concluido
TRX002987,30/01/2025,CLI00794,Smartphone X10,Eletrônicos,1209.09,2.0,Fortaleza/CE/Brasil,Boleto,Cancelado
TRX001745,2025-04-01,CLI00166,Quadrinho Clássico,Livros,2595.59,5.0,SALVADOR - BA,PIX,Devolvido
