data,faturamento_previsto
2026-01-01,80409.0569985464
2026-01-02,83080.23239658464
2026-01-03,84317.00176768452
2026-01-04,85281.90402995942
2026-01-05,84620.09617696101
2026-01-06,77872.83077015786
2026-01-07,80567.18922175522
2026-01-08,80409.0569985464
2026-01-09,83080.23239658464
2026-01-10,84317.00176768452
2026-01-11,85281.90402995942
2026-01-12,84620.09617696101
2026-01-13,77872.83077015786
2026-01-14,80567.18922175522
2026-01-15,80409.0569985464
2026-01-16,83080.23239658464
2026-01-17,84317.00176768452
2026-01-18,85281.90402995942
2026-01-19,84620.09617696101
2026-01-20,77872.83077015786
2026-01-21,80567.18922175522
2026-01-22,80409.0569985464
2026-01-23,83080.23239658464
2026-01-24,84317.00176768452
2026-01-25,85281.90402995942
2026-01-26,84620.09617696101
2026-01-27,77872.83077015786
2026-01-28,80567.18922175522
2026-01-29,80409.0569985464
2026-01-30,83080.23239658464
2026-01-31,84317.00176768452
