data,faturamento,faturamento_previsto
2025-12-02,85839.39,82221.75837694977
2025-12-03,59076.439999999995,85321.71667996884
2025-12-04,72633.72,84300.06662620638
2025-12-05,67807.19,86403.25180464545
2025-12-06,119673.24,87344.00393031149
2025-12-07,65270.14,91057.78685323671
2025-12-08,131401.24,87736.98360389883
2025-12-09,57757.05,82221.75837694977
2025-12-10,63945.47,85321.71667996884
2025-12-11,86544.72,84300.06662620638
2025-12-12,113960.52,86403.25180464545
2025-12-13,89656.56,87344.00393031149
2025-12-14,78165.4,91057.78685323671
2025-12-15,90275.39,87736.98360389883
2025-12-16,103983.34,82221.75837694977
2025-12-17,112070.87,85321.71667996884
2025-12-18,84733.81,84300.06662620638
2025-12-19,91929.70999999999,86403.25180464545
2025-12-20,102211.51,87344.00393031149
2025-12-21,72483.96,91057.78685323671
2025-12-22,117752.85,87736.98360389883
2025-12-23,83093.92,82221.75837694977
2025-12-24,71060.89,85321.71667996884
2025-12-25,94240.95,84300.06662620638
2025-12-26,102375.95,86403.25180464545
2025-12-27,83715.36,87344.00393031149
2025-12-28,51337.84,91057.78685323671
2025-12-29,51136.09,87736.98360389883
2025-12-30,56028.28,82221.75837694977
2025-12-31,74247.95,85321.71667996884
